instrument_id,vendor_symbol,venue,currency,interval,bar_start,bar_end,available_at,open,high,low,close,volume,adjustment_mode,adjustment_version,source_id,source_row_id
NVDA,NVDA,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,148.37,148.97,141.88,142.62,234657600,as_traded,v1,fixture-market-facts-v1,nvda-20250124
NVDA,NVDA,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,124.80,128.40,116.70,118.42,818830900,as_traded,v1,fixture-market-facts-v1,nvda-20250127
NVDA,NVDA,XNAS,USD,1d,2025-01-28T14:30:00Z,2025-01-28T21:00:00Z,2025-01-28T21:00:00Z,121.81,129.00,116.25,128.99,579666400,as_traded,v1,fixture-market-facts-v1,nvda-20250128
NVDA,NVDA,XNAS,USD,1d,2025-01-29T14:30:00Z,2025-01-29T21:00:00Z,2025-01-29T21:00:00Z,126.50,126.89,120.05,123.70,467120600,as_traded,v1,fixture-market-facts-v1,nvda-20250129
NVDA,NVDA,XNAS,USD,1d,2025-01-30T14:30:00Z,2025-01-30T21:00:00Z,2025-01-30T21:00:00Z,123.10,125.00,118.10,124.65,392925500,as_traded,v1,fixture-market-facts-v1,nvda-20250130
AMD,AMD,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,123.75,125.25,121.82,122.84,31598700,as_traded,v1,fixture-market-facts-v1,amd-20250124
AMD,AMD,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,114.50,118.49,112.80,115.01,61026800,as_traded,v1,fixture-market-facts-v1,amd-20250127
AMD,AMD,XNAS,USD,1d,2025-01-28T14:30:00Z,2025-01-28T21:00:00Z,2025-01-28T21:00:00Z,116.00,116.25,112.76,114.17,40532700,as_traded,v1,fixture-market-facts-v1,amd-20250128
AVGO,AVGO,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,244.30,249.04,243.12,244.70,31528000,as_traded,v1,fixture-market-facts-v1,avgo-20250124
AVGO,AVGO,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,206.00,209.50,196.23,202.13,133966000,as_traded,v1,fixture-market-facts-v1,avgo-20250127
ARM,ARM,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,162.00,163.50,158.00,160.05,6200000,as_traded,v1,fixture-market-facts-v1,arm-20250124
ARM,ARM,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,145.00,151.00,141.00,149.15,19100000,as_traded,v1,fixture-market-facts-v1,arm-20250127
TSM,TSM,XNYS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,221.00,223.00,218.50,221.88,15400000,as_traded,v1,fixture-market-facts-v1,tsm-20250124
TSM,TSM,XNYS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,205.00,209.00,202.00,205.61,40100000,as_traded,v1,fixture-market-facts-v1,tsm-20250127
ASML,ASML,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,751.00,759.00,746.00,750.28,1250000,as_traded,v1,fixture-market-facts-v1,asml-20250124
ASML,ASML,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,724.00,733.00,710.00,713.64,3350000,as_traded,v1,fixture-market-facts-v1,asml-20250127
SOXX,SOXX,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,229.50,230.10,226.00,226.84,3900000,as_traded,v1,fixture-market-facts-v1,soxx-20250124
SOXX,SOXX,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,207.00,211.00,204.00,207.22,15400000,as_traded,v1,fixture-market-facts-v1,soxx-20250127
QQQ,QQQ,XNAS,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,530.00,532.00,526.00,529.63,31000000,as_traded,v1,fixture-market-facts-v1,qqq-20250124
QQQ,QQQ,XNAS,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,516.00,522.00,510.00,515.04,61200000,as_traded,v1,fixture-market-facts-v1,qqq-20250127
SPY,SPY,ARCX,USD,1d,2025-01-24T14:30:00Z,2025-01-24T21:00:00Z,2025-01-24T21:00:00Z,609.81,610.78,606.80,607.97,34500000,as_traded,v1,fixture-market-facts-v1,spy-20250124
SPY,SPY,ARCX,USD,1d,2025-01-27T14:30:00Z,2025-01-27T21:00:00Z,2025-01-27T21:00:00Z,594.81,599.69,594.64,599.37,70300000,as_traded,v1,fixture-market-facts-v1,spy-20250127
